"Month";"M1"
"1987-03";723.5
"1987-04";752.5
"1987-05";739.9
"1987-06";744.4
"1987-07";746.8
"1987-08";745
"1987-09";745.2
"1987-10";753.7
"1987-11";756
"1987-12";765.9
"1988-01";764.7
"1988-02";745
"1988-03";752.1
"1988-04";778.3
"1988-05";763.8
"1988-06";778.8
"1988-07";785.6
"1988-08";781.3
"1988-09";780
"1988-10";780.8
"1988-11";787.1
"1988-12";803.2
"1989-01";793
"1989-02";772.3
"1989-03";775.2
"1989-04";791.3
"1989-05";767.2
"1989-06";773.8
"1989-07";781.7
"1989-08";777.4
"1989-09";778.5
"1989-10";784.5
"1989-11";791.4
"1989-12";811.9
"1990-01";802.4
"1990-02";788.3
"1990-03";796.2
"1990-04";818
"1990-05";797.3
"1990-06";810.8
"1990-07";812.9
"1990-08";814.5
"1990-09";818.9
"1990-10";817.6
"1990-11";826.1
"1990-12";844.3
"1991-01";833.2
"1991-02";823.4
"1991-03";835
"1991-04";852.9
"1991-05";841.9
"1991-06";857.8
"1991-07";861.9
"1991-08";864.2
"1991-09";867.3
"1991-10";875
"1991-11";893.4
"1991-12";916.8
"1992-01";918.1
"1992-02";916.5
