"Month";"CPI"
"1967-06";115.2
"1967-07";116.3
"1967-08";116.8
"1967-09";116.6
"1967-10";116.5
"1967-11";116.9
"1967-12";117.5
"1968-01";118.1
"1968-02";118.2
"1968-03";118.6
"1968-04";119.3
"1968-05";119.3
"1968-06";119.7
"1968-07";120.4
"1968-08";120.7
"1968-09";121.1
"1968-10";121.4
"1968-11";121.9
"1968-12";122.3
"1969-01";122.6
"1969-02";122.6
"1969-03";123.2
"1969-04";124.6
"1969-05";124.9
"1969-06";125.9
"1969-07";126.4
"1969-08";126.9
"1969-09";126.6
"1969-10";126.8
"1969-11";127.4
"1969-12";127.9
"1970-01";128.2
"1970-02";128.7
"1970-03";128.9
"1970-04";129.7
"1970-05";129.6
"1970-06";129.9
"1970-07";130.5
"1970-08";130.5
"1970-09";130.2
"1970-10";130.3
"1970-11";130.3
"1970-12";129.8
"1971-01";130.3
"1971-02";130.9
"1971-03";131.3
"1971-04";132.2
"1971-05";132.7
"1971-06";133
"1971-07";134.1
"1971-08";135
"1971-09";134.7
"1971-10";134.9
"1971-11";135.4
"1971-12";136.3
"1972-01";136.7
"1972-02";137.3
"1972-03";137.4
"1972-04";138.2
"1972-05";138.3
"1972-06";138.5
"1972-07";140.2
"1972-08";141.3
"1972-09";141.8
"1972-10";142
"1972-11";142.3
"1972-12";143.3
"1973-01";144.5
"1973-02";145.3
"1973-03";145.7
"1973-04";147.3
"1973-05";148.4
"1973-06";149.7
"1973-07";151
"1973-08";153
"1973-09";153.9
"1973-10";154.3
"1973-11";155.5
"1973-12";156.4
